sample,in_db,out_db,gain_db
0,-10.000000,-10.000000,0.000429
1,-10.000000,-9.999571,0.001247
2,-10.000000,-9.998753,0.002454
3,-10.000000,-9.997547,0.004049
4,-10.000000,-9.995950,0.006033
5,-10.000000,-9.993967,0.008404
6,-10.000000,-9.991596,0.011162
7,-10.000000,-9.988838,0.014306
8,-10.000000,-9.985694,0.017836
9,-10.000000,-9.982164,0.021750
10,-10.000000,-9.978250,0.026049
11,-10.000000,-9.973951,0.030731
12,-10.000000,-9.969270,0.035795
13,-10.000000,-9.964205,0.041240
14,-10.000000,-9.958760,0.047066
15,-10.000000,-9.952934,0.053272
16,-10.000000,-9.946728,0.059856
17,-10.000000,-9.940144,0.066817
18,-10.000000,-9.933183,0.074155
19,-10.000000,-9.925845,0.081868
20,-10.000000,-9.918132,0.089956
21,-10.000000,-9.910044,0.098416
22,-10.000000,-9.901584,0.107248
23,-10.000000,-9.892753,0.116450
24,-10.000000,-9.883550,0.126021
25,-10.000000,-9.873979,0.135961
26,-10.000000,-9.864040,0.146266
27,-10.000000,-9.853734,0.156937
28,-10.000000,-9.843063,0.167972
29,-10.000000,-9.832028,0.179369
30,-10.000000,-9.820631,0.191126
31,-10.000000,-9.808873,0.203243
32,-10.000000,-9.796757,0.215718
33,-10.000000,-9.784283,0.228549
34,-10.000000,-9.771451,0.241734
35,-10.000000,-9.758267,0.255272
36,-10.000000,-9.744727,0.269161
37,-10.000000,-9.730838,0.283400
38,-10.000000,-9.716600,0.297987
39,-10.000000,-9.702014,0.312919
40,-10.000000,-9.687081,0.328232
41,-10.000000,-9.671768,0.343883
42,-10.000000,-9.656116,0.359872
43,-10.000000,-9.640128,0.376195
44,-10.000000,-9.623805,0.392853
45,-10.000000,-9.607147,0.409842
46,-10.000000,-9.590158,0.427161
47,-10.000000,-9.572839,0.444809
48,-10.000000,-9.555191,0.462784
49,-10.000000,-9.537217,0.481083
50,-10.000000,-9.518917,0.499704
51,-10.000000,-9.500297,0.518646
52,-10.000000,-9.481353,0.537906
53,-10.000000,-9.462094,0.557483
54,-10.000000,-9.442517,0.577374
55,-10.000000,-9.422627,0.597576
56,-10.000000,-9.402424,0.618088
57,-10.000000,-9.381913,0.638907
58,-10.000000,-9.361094,0.660030
59,-10.000000,-9.339970,0.681456
60,-10.000000,-9.318545,0.703181
61,-10.000000,-9.296819,0.725204
62,-10.000000,-9.274796,0.747521
63,-10.000000,-9.252480,0.770130
64,-10.000000,-9.229871,0.793027
65,-10.000000,-9.206973,0.816212
66,-10.000000,-9.183788,0.839679
67,-10.000000,-9.160321,0.863428
68,-10.000000,-9.136573,0.887454
69,-10.000000,-9.112547,0.911755
70,-10.000000,-9.088246,0.936328
71,-10.000000,-9.063672,0.961170
72,-10.000000,-9.038831,0.986278
73,-10.000000,-9.013723,1.011648
74,-10.000000,-8.988354,1.037278
75,-10.000000,-8.962724,1.063164
76,-10.000000,-8.936838,1.089303
77,-10.000000,-8.910699,1.115691
78,-10.000000,-8.884311,1.142326
79,-10.000000,-8.857676,1.169204
80,-10.000000,-8.830799,1.196322
81,-10.000000,-8.803681,1.223676
82,-10.000000,-8.776328,1.251262
83,-10.000000,-8.748741,1.279078
84,-10.000000,-8.720927,1.307119
85,-10.000000,-8.692886,1.335382
86,-10.000000,-8.664623,1.363864
87,-10.000000,-8.636142,1.392560
